,Address
0,"1505 UNIVERSITY AVE, Charlottesville VA"
1,"109 CULBRETH RD, Charlottesville VA"
2,"350 PARK ST, Charlottesville VA"
3,"7051 LOUISA RD, Charlottesville VA"
4,"606 E MARKET ST, Charlottesville VA"
5,"606 E MARKET ST, Charlottesville VA"
6,"3904 VILLAGE TOWNES WALK, Charlottesville VA"
7,"3904 VILLAGE TOWNES WALK, Charlottesville VA"
8," EMARKET ST, Charlottesville VA"
9," EMARKET ST, Charlottesville VA"
10,"160 PEREGORY LN, Charlottesville VA"
11,"1610 AVON STREET EXT, Charlottesville VA"
12,"606 E MARKET ST, Charlottesville VA"
13,"1610 AVON STREET EXT, Charlottesville VA"
14,"600 E MARKET ST, Charlottesville VA"
15,"2025 IVY RD, Charlottesville VA"
16," IVY RD, Charlottesville VA"
17,"101 W MAIN ST, Charlottesville VA"
18,
19,"606 E MARKET ST, Charlottesville VA"
20,"600 BOLLING AVE, Charlottesville VA"
21,"1505 GREEN ST 1, Charlottesville VA"
22,"1517 UNIVERSITY AVE, Charlottesville VA"
23," EMARKET ST, Charlottesville VA"
24,
25,"1337 CARLTON AVE, Charlottesville VA"
26,"1337 CARLTON AVE, Charlottesville VA"
27,"772 PROSPECT AVE, Charlottesville VA"
28,"772 PROSPECT AVE, Charlottesville VA"
29,"772 PROSPECT AVE, Charlottesville VA"
30,"772 PROSPECT AVE, Charlottesville VA"
31,"840 RUNNEL CT 10, Charlottesville VA"
32,"606 E MARKET ST, Charlottesville VA"
33,"250 SWAYNE _WAY_ AVE, Charlottesville VA"
34,"310 E MAIN ST 100, Charlottesville VA"
35,"704 FOREST ST, Charlottesville VA"
36,"1805 EMMET ST N, Charlottesville VA"
37,"605 E MAIN ST, Charlottesville VA"
38,"605 E MAIN ST, Charlottesville VA"
39,"1159 EMMET ST N, Charlottesville VA"
40,"475 RIDGE MCINTIRE RD, Charlottesville VA"
41,"535 APPLEYARD DR, Charlottesville VA"
42,"535 APPLEYARD DR, Charlottesville VA"
43,"535 APPLEYARD DR, Charlottesville VA"
44,"535 APPLEYARD DR, Charlottesville VA"
45,"535 APPLEYARD DR, Charlottesville VA"
46,"535 APPLEYARD DR, Charlottesville VA"
47,"1610 AVON ST, Charlottesville VA"
48,"411 E HIGH ST, Charlottesville VA"
49,"829 HARDY DR, Charlottesville VA"
50,"1505 GREEN ST A3, Charlottesville VA"
51,"606 E MARKET ST, Charlottesville VA"
52,"1106 WMAIN ST, Charlottesville VA"
53,"1106 WMAIN ST, Charlottesville VA"
54,"160 PEREGORY LN, Charlottesville VA"
55,"160 PEREGORY LN, Charlottesville VA"
56,"160 PEREGORY LN, Charlottesville VA"
57,"160 PEREGORY LN, Charlottesville VA"
58,"1435 COURTHOUSE RD, Charlottesville VA"
59,"1435 COURTHOUSE RD, Charlottesville VA"
60,"160 PEREGORY LN, Charlottesville VA"
61,"750 HARRIS ST 202, Charlottesville VA"
62,"606 E MARKET ST, Charlottesville VA"
63,"750 HARRIS ST 101, Charlottesville VA"
64,"160 PEREGORY LN, Charlottesville VA"
65,"1600 5TH ST, Charlottesville VA"
66,"858 ST CHARLES AVE, Charlottesville VA"
67,"858 ST CHARLES AVE, Charlottesville VA"
68,"858 ST CHARLES AVE, Charlottesville VA"
69,"720 PROSPECT AVE J, Charlottesville VA"
70,"1517 UNIVERSITY AVE, Charlottesville VA"
71,"2649 GATEWAY CIR, Charlottesville VA"
72,"18102 GRANCH _ORA_ DR, Charlottesville VA"
73," NEW PORT NEWS SHERIFF'S OFC, Charlottesville VA"
74," NEW PORT NEWS SHERIFF'S OFC, Charlottesville VA"
75," NEW PORT NEWS SHERIFF'S OFC, Charlottesville VA"
76," NEW PORT NEWS SHERIFF'S OFC, Charlottesville VA"
77," NEW PORT NEWS SHERIFF'S OFC, Charlottesville VA"
78," NEW PORT NEWS SHERIFF'S OFC, Charlottesville VA"
79," NEW PORT NEWS SHERIFF'S OFC, Charlottesville VA"
80," NEW PORT NEWS SHERIFF'S OFC, Charlottesville VA"
81,"740 NALLE ST, Charlottesville VA"
82,"820 W MAIN ST, Charlottesville VA"
83,"820 W MAIN ST, Charlottesville VA"
84,"820 W MAIN ST, Charlottesville VA"
85,"820 W MAIN ST, Charlottesville VA"
86,"201 E MAIN ST, Charlottesville VA"
87,"200 W MAIN ST, Charlottesville VA"
88,"1610 AVON STREET EXT, Charlottesville VA"
89,
90,"250 SWAYNE _WAY_ AVE, Charlottesville VA"
91,"1002 MONTROSE AVE, Charlottesville VA"
92,"1002 MONTROSE AVE, Charlottesville VA"
93,"1002 MONTROSE AVE, Charlottesville VA"
94,"1002 MONTROSE AVE, Charlottesville VA"
95,"606 E MARKET ST, Charlottesville VA"
96,"750 HARRIS ST, Charlottesville VA"
97,"750 HARRIS ST 101, Charlottesville VA"
98,"750 HARRIS ST 101, Charlottesville VA"
99,"750 HARRIS ST 101, Charlottesville VA"
100,"801 E MARKET ST, Charlottesville VA"
101,
102,"160 COMMONS BLVD, Charlottesville VA"
103,"413 RIVERSIDE AVE, Charlottesville VA"
104,"413 RIVERSIDE AVE, Charlottesville VA"
105,"606 E MARKET ST, Charlottesville VA"
