,Address
0,"1600 MADISON AVE, Charlottesville VA"
1," 10TH ST NW / ANDERSON ST, Charlottesville VA"
2,"800 ROSE HILL DR, Charlottesville VA"
3,"100 MADISON LN, Charlottesville VA"
4,"800 W MAIN ST, Charlottesville VA"
5,"1300 CARLTON AVE, Charlottesville VA"
6,"100 E MARKET ST, Charlottesville VA"
7,"100 LANKFORD AVE, Charlottesville VA"
8,"300 E MAIN ST, Charlottesville VA"
9," ELLIEWOOD AVE, Charlottesville VA"
10,"1600 MERIDIAN ST, Charlottesville VA"
11,"200 E WATER ST, Charlottesville VA"
12," EMMET ST N @ ANGUS RD, Charlottesville VA"
13,"900 5TH ST SW, Charlottesville VA"
14,"800 HARRIS ST, Charlottesville VA"
15,"1300 CARLTON AVE, Charlottesville VA"
16,"1900 ARLINGTON BLVD, Charlottesville VA"
17,"900 DRUID AVE, Charlottesville VA"
18,"1900 EMMET ST N, Charlottesville VA"
19,"1300 CARLTON AVE, Charlottesville VA"
20,"800 ST CHARLES AVE, Charlottesville VA"
21,"1200 LONG ST, Charlottesville VA"
22,"1200 SMITH ST, Charlottesville VA"
23,"1700 ALLIED ST, Charlottesville VA"
24,"400 ALTAMONT ST, Charlottesville VA"
25,"500 E MARKET ST, Charlottesville VA"
26,"1600 JAMESTOWN DR, Charlottesville VA"
27,"100 MONTICELLO AVE, Charlottesville VA"
28,"1700 EMMET ST N, Charlottesville VA"
29,"2400 JEFFERSON PARK AVE, Charlottesville VA"
30,"200 W WATER ST, Charlottesville VA"
31,"2300 CRESTMONT AVE, Charlottesville VA"
32,"2400 SUNSET RD, Charlottesville VA"
33,"1000 FOREST HILLS AVE, Charlottesville VA"
34,"2800 POWELL CREEK DR, Charlottesville VA"
35,"700 KING ST, Charlottesville VA"
36,"600 E MARKET ST, Charlottesville VA"
37,"1200 W MAIN ST, Charlottesville VA"
38,"1100 5TH ST SW, Charlottesville VA"
39,"1000 FOREST HILLS AVE, Charlottesville VA"
40,"700 CHERRY AVE, Charlottesville VA"
41,"1100 RIVER RD, Charlottesville VA"
42," GARRETT ST, Charlottesville VA"
43,"700 NALLE ST, Charlottesville VA"
44,"200 RIDGE ST, Charlottesville VA"
45,"1000 5TH ST SW, Charlottesville VA"
46,"100 LANKFORD AVE, Charlottesville VA"
47,"1900 IVY RD, Charlottesville VA"
48,"1900 EMMET ST N, Charlottesville VA"
49,"1100 LEONARD ST, Charlottesville VA"
50,"1900 EMMET ST N, Charlottesville VA"
51,"400 AVON ST, Charlottesville VA"
52,"600 E MARKET ST, Charlottesville VA"
53,"600 E MARKET ST, Charlottesville VA"
54,"1400 HOLLY RD, Charlottesville VA"
55,"700 RIDGE ST, Charlottesville VA"
56,"1100 EMMET ST N, Charlottesville VA"
57,"1500 6TH ST SE, Charlottesville VA"
58,"600 RUGBY RD, Charlottesville VA"
59,"100 W MARKET ST, Charlottesville VA"
60,"1200 WERTLAND ST, Charlottesville VA"
61,"700 ORANGEDALE AVE, Charlottesville VA"
62,"900 CHARLTON AVE, Charlottesville VA"
63,"1400 UNIVERSITY AVE, Charlottesville VA"
64,"100 WILSON CT, Charlottesville VA"
65," 2ND ST NE / E JEFFERSON ST, Charlottesville VA"
66,"700 PROSPECT AVE, Charlottesville VA"
67,"1200 EMMET ST N, Charlottesville VA"
68,"700 PROSPECT AVE, Charlottesville VA"
69," CHERRY AVE / CLEVELAND AVE, Charlottesville VA"
70,"200 DICE ST, Charlottesville VA"
71,"2100 ANGUS RD, Charlottesville VA"
72,"900 EMMET ST N, Charlottesville VA"
73,"600 PRESTON PL, Charlottesville VA"
74,"700 PROSPECT AVE, Charlottesville VA"
75,"900 BING LN, Charlottesville VA"
76,"800 CABELL AVE, Charlottesville VA"
77,"100 E MARKET ST, Charlottesville VA"
78,"100 DANBURY CT, Charlottesville VA"
79,"1400 UNIVERSITY AVE, Charlottesville VA"
80,"300 MCINTIRE RD, Charlottesville VA"
81,"1000 EMMET ST N, Charlottesville VA"
82,"200 RIDGE MCINTIRE RD, Charlottesville VA"
83,"1400 UNIVERSITY AVE, Charlottesville VA"
84,"200 W WATER ST, Charlottesville VA"
85,"900 ROCK CREEK RD, Charlottesville VA"
86,"900 EMMET ST N, Charlottesville VA"
87,"1100 EMMET ST N, Charlottesville VA"
88,"2500 WILLARD DR, Charlottesville VA"
89,"400 RIDGE MCINTIRE RD, Charlottesville VA"
90,"2000 MICHIE DR, Charlottesville VA"
91,"1200 PRESTON AVE, Charlottesville VA"
92,"1700 UNIVERSITY AVE, Charlottesville VA"
93,"1600 CEDAR HILL RD, Charlottesville VA"
94,"200 W MAIN ST, Charlottesville VA"
95,"100 W MARKET ST, Charlottesville VA"
96,"400 GARRETT ST, Charlottesville VA"
97,"900 1ST ST S, Charlottesville VA"
98,"500 14TH ST NW, Charlottesville VA"
99,"1500 UNIVERSITY AVE, Charlottesville VA"
100,"600 E MARKET ST, Charlottesville VA"
101,"300 MEADE AVE, Charlottesville VA"
102,"200 W WATER ST, Charlottesville VA"
103," JEFFERSON PARK AVE / SHAMROCK RD, Charlottesville VA"
104,"1000 FOREST HILLS AVE, Charlottesville VA"
105,"200 10TH ST NW, Charlottesville VA"
106,"700 HARRIS ST, Charlottesville VA"
107,"600 E MARKET ST, Charlottesville VA"
108,"100 LAUREL CIR, Charlottesville VA"
109,"1600 UNIVERSITY AVE, Charlottesville VA"
110,"1200 LEE ST, Charlottesville VA"
111,"800 HARDY DR, Charlottesville VA"
112,"900 HENRY AVE, Charlottesville VA"
113,"500 E MARKET ST, Charlottesville VA"
114,"1400 JEFFERSON PARK AVE, Charlottesville VA"
115,"1100 5TH ST SW, Charlottesville VA"
116,"300 SPRUCE ST, Charlottesville VA"
117,"1100 5TH ST SW, Charlottesville VA"
118,"1500 E HIGH ST, Charlottesville VA"
119,"700 PROSPECT AVE, Charlottesville VA"
120,"900 E JEFFERSON ST, Charlottesville VA"
121,"300 E MAIN ST, Charlottesville VA"
122,"800 HARDY DR, Charlottesville VA"
123,"1200 LEE ST, Charlottesville VA"
124,"900 6TH ST SE, Charlottesville VA"
125,"900 CHARLTON AVE, Charlottesville VA"
126,"800 W MAIN ST, Charlottesville VA"
127,"1100 MERIWETHER ST, Charlottesville VA"
128,"2000 LEWIS MOUNTAIN RD, Charlottesville VA"
129,"100 MCINTIRE PARK DR, Charlottesville VA"
130,"1100 RIVER RD, Charlottesville VA"
131,"600 E MARKET ST, Charlottesville VA"
132,"600 E WATER ST, Charlottesville VA"
133,"400 GARRETT ST, Charlottesville VA"
134,"600 E MARKET ST, Charlottesville VA"
135," E JEFFERSON ST / 1ST ST N, Charlottesville VA"
136,"700 6TH ST SE, Charlottesville VA"
137,"900 CHARLTON AVE, Charlottesville VA"
138,"600 RIDGE ST, Charlottesville VA"
139,"2400 JEFFERSON PARK AVE, Charlottesville VA"
140,"800 HARDY DR, Charlottesville VA"
141,"100 LANKFORD AVE, Charlottesville VA"
142,"900 E JEFFERSON ST, Charlottesville VA"
143,"1300 LONG ST, Charlottesville VA"
144,"1700 GORDON AVE, Charlottesville VA"
145,"1000 ST CHARLES AVE, Charlottesville VA"
146,"800 HARDY DR, Charlottesville VA"
147,"400 EMMET ST N, Charlottesville VA"
148,"500 HARRIS RD, Charlottesville VA"
149,"900 BLENHEIM AVE, Charlottesville VA"
150,"100 ANTOINETTE CT, Charlottesville VA"
151,"800 ST CHARLES AVE, Charlottesville VA"
152,"1000 PAGE ST, Charlottesville VA"
153,"1900 SWANSON DR, Charlottesville VA"
154,"2100 MICHIE DR, Charlottesville VA"
155,"100 14TH ST NW, Charlottesville VA"
156,"2100 MICHIE DR, Charlottesville VA"
157,"100 14TH ST NW, Charlottesville VA"
158,"200 W WATER ST, Charlottesville VA"
159,"2100 MICHIE DR, Charlottesville VA"
160,"600 E MARKET ST, Charlottesville VA"
161,"100 14TH ST NW, Charlottesville VA"
162,"400 ELLIOTT AVE, Charlottesville VA"
163,"800 W MAIN ST, Charlottesville VA"
164,"700 STONEHENGE AVE, Charlottesville VA"
165,"100 ELLIEWOOD AVE, Charlottesville VA"
166,"100 BROOKWOOD DR, Charlottesville VA"
167," W MAIN ST / 10TH ST NW, Charlottesville VA"
168,"100 GARRETT ST, Charlottesville VA"
169,"200 E MARKET ST, Charlottesville VA"
170,"300 RIDGE ST, Charlottesville VA"
171,"300 SPRUCE ST, Charlottesville VA"
172,"1300 E MARKET ST, Charlottesville VA"
173,"500 HARRIS RD, Charlottesville VA"
174,"100 W WATER ST, Charlottesville VA"
175,"600 E MARKET ST, Charlottesville VA"
176,"100 BLINCOE LN, Charlottesville VA"
177,"300 E MAIN ST, Charlottesville VA"
178,"1500 UNIVERSITY AVE, Charlottesville VA"
179,"1500 UNIVERSITY AVE, Charlottesville VA"
180,"300 15TH ST NW, Charlottesville VA"
181,"1500 UNIVERSITY AVE, Charlottesville VA"
182,"200 W MARKET ST, Charlottesville VA"
183,"1500 UNIVERSITY AVE, Charlottesville VA"
184,"1500 UNIVERSITY AVE, Charlottesville VA"
185,"400 E MAIN ST, Charlottesville VA"
186,"300 14TH ST NW, Charlottesville VA"
187,"100 W MAIN ST, Charlottesville VA"
188,"2100 MICHIE DR, Charlottesville VA"
189,"2300 GLENN CT, Charlottesville VA"
190,"2000 JEFFERSON PARK AVE, Charlottesville VA"
191,"1100 5TH ST SW, Charlottesville VA"
192,"1500 UNIVERSITY AVE, Charlottesville VA"
193,"1900 EMMET ST N, Charlottesville VA"
194,"1100 EMMET ST N, Charlottesville VA"
195,"100 ELLIEWOOD AVE, Charlottesville VA"
196,"7100 BARRACKS RD, Charlottesville VA"
197,"300 7 1/2 ST SW, Charlottesville VA"
198,"1900 EMMET ST N, Charlottesville VA"
199,"1500 CARLTON AVE, Charlottesville VA"
200,"300 OLD LYNCHBURG RD, Charlottesville VA"
201,"300 7 1/2 ST SW, Charlottesville VA"
202,"1200 EMMET ST N, Charlottesville VA"
203,"2100 MICHIE DR, Charlottesville VA"
204,"900 ROCK CREEK RD, Charlottesville VA"
205,"1100 E MARKET ST, Charlottesville VA"
206,"700 GRAVES ST, Charlottesville VA"
207,"1900 CEDAR HILL RD, Charlottesville VA"
208,"300 CAROLINE AVE, Charlottesville VA"
209," CHESAPEAKE ST / 18TH ST NE, Charlottesville VA"
210,"100 BURNET ST, Charlottesville VA"
211,"100 RIDGE ST, Charlottesville VA"
212,"800 CHERRY AVE, Charlottesville VA"
213,"1200 HARRIS ST, Charlottesville VA"
214,"800 HARDY DR, Charlottesville VA"
215,"700 PROSPECT AVE, Charlottesville VA"
